OrderID,OrderDate,Region,Category,ProductName,Quantity,Sales,Profit
1,2025-02-07,Nakuru,Office Supplies,Printer Paper,2,330.24,28.63
2,2025-05-25,Mombasa,Electronics,Headphones,5,1052.24,194.35
3,2025-09-12,Nakuru,Electronics,Laptop,5,2207.48,125.49
4,2025-02-20,Mombasa,Office Supplies,Pen Set,1,393.63,90.14
5,2025-01-08,Mombasa,Electronics,Tablet,2,870.42,223.95
6,2025-08-05,Kisumu,Electronics,Headphones,2,683.71,135.56
7,2025-02-19,Nairobi,Furniture,Desk,2,176.44,43.37
8,2025-12-03,Kisumu,Electronics,Phone,1,379.12,45.54
9,2025-10-10,Mombasa,Electronics,Tablet,4,643.74,78.5
10,2025-12-23,Nakuru,Furniture,Chair,1,457.02,57.01
11,2025-05-24,Nakuru,Electronics,Phone,4,1916.55,220.87
12,2025-08-05,Mombasa,Furniture,Chair,4,1117.95,269.84
13,2025-09-20,Kisumu,Furniture,Cabinet,5,171.52,46.44
14,2025-03-19,Nakuru,Electronics,Laptop,5,1006.2,185.75
15,2025-10-29,Nairobi,Office Supplies,Printer Paper,3,978.48,79.82
16,2025-12-04,Kisumu,Furniture,Desk,5,747.83,204.88
17,2025-04-05,Kisumu,Office Supplies,Printer Paper,4,1273.66,100.22
18,2025-04-14,Nairobi,Electronics,Tablet,2,431.81,47.18
19,2025-11-24,Nakuru,Office Supplies,Stapler,2,186.81,36.36
20,2025-10-06,Kisumu,Office Supplies,Pen Set,2,774.01,129.14
21,2025-07-03,Mombasa,Office Supplies,Pen Set,1,102.72,8.66
22,2025-05-22,Mombasa,Furniture,Cabinet,1,381.86,107.21
23,2025-05-18,Mombasa,Furniture,Chair,5,162.91,9.3
24,2025-03-19,Nakuru,Electronics,Phone,1,484.48,57.93
25,2025-08-23,Kisumu,Electronics,Laptop,1,28.95,7.24
26,2025-02-03,Kisumu,Furniture,Desk,1,225.35,35.4
27,2025-10-15,Nairobi,Electronics,Tablet,4,286.39,30.48
28,2025-02-20,Nairobi,Electronics,Laptop,4,218.19,63.67
29,2025-02-14,Kisumu,Electronics,Headphones,4,1508.15,149.09
30,2025-03-28,Nakuru,Electronics,Phone,5,816.83,82.57
31,2025-10-16,Nakuru,Office Supplies,Printer Paper,2,477.07,87.28
32,2025-07-14,Mombasa,Furniture,Cabinet,5,617.56,172.37
33,2025-05-26,Nairobi,Electronics,Phone,2,111.29,8.22
34,2025-08-19,Kisumu,Electronics,Tablet,5,443.83,125.49
35,2025-09-30,Nairobi,Office Supplies,Printer Paper,4,206.65,48.31
36,2025-09-28,Nairobi,Office Supplies,Stapler,4,899.48,208.8
37,2025-02-24,Kisumu,Office Supplies,Printer Paper,2,47.68,13.43
38,2025-04-25,Mombasa,Electronics,Laptop,4,1632.01,231.9
39,2025-11-12,Nakuru,Office Supplies,Pen Set,5,1313.59,72.75
40,2025-09-11,Nakuru,Office Supplies,Pen Set,3,313.72,41.73
41,2025-03-31,Kisumu,Office Supplies,Pen Set,1,299.37,80.74
42,2025-03-06,Nakuru,Electronics,Laptop,5,931.09,180.88
43,2025-06-26,Nairobi,Furniture,Chair,3,374.49,42.01
44,2025-12-18,Mombasa,Electronics,Phone,1,281.07,27.49
45,2025-07-24,Nairobi,Furniture,Chair,1,345.95,96.75
46,2025-08-01,Mombasa,Office Supplies,Pen Set,3,1462.25,294.17
47,2025-10-30,Nairobi,Electronics,Laptop,3,471.23,92.69
